2026-07-31 21:15:30,731 | INFO | app.middleware.logging | GET /api/jobs/1 -> 200 (5.64 ms)
2026-07-31 21:15:30,732 | INFO | httpx | HTTP Request: GET http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-31 21:15:30,749 | INFO | app.middleware.logging | PUT /api/jobs/1 -> 200 (6.41 ms)
2026-07-31 21:15:30,750 | INFO | httpx | HTTP Request: PUT http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-31 21:15:30,767 | INFO | app.middleware.logging | DELETE /api/jobs/1 -> 200 (4.83 ms)
2026-07-31 21:15:30,768 | INFO | httpx | HTTP Request: DELETE http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-31 21:15:30,787 | INFO | app.middleware.logging | POST /api/resumes/upload -> 200 (8.07 ms)
2026-07-31 21:15:30,789 | INFO | httpx | HTTP Request: POST http://testserver/api/resumes/upload "HTTP/1.1 200 OK"
2026-07-31 21:15:30,806 | INFO | app.middleware.logging | GET /api/resumes -> 200 (7.19 ms)
2026-07-31 21:15:30,808 | INFO | httpx | HTTP Request: GET http://testserver/api/resumes "HTTP/1.1 200 OK"
2026-07-31 21:15:30,824 | INFO | app.middleware.logging | GET /api/resumes/latest -> 200 (6.55 ms)
2026-07-31 21:15:30,825 | INFO | httpx | HTTP Request: GET http://testserver/api/resumes/latest "HTTP/1.1 200 OK"
2026-07-31 21:15:32,538 | INFO | app.services.resume_service | Resume uploaded successfully.
2026-07-31 21:15:32,587 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-08-01 16:47:36,249 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-08-01 16:47:36,249 | INFO | apscheduler.scheduler | Added job "import_jobs_task" to job store "default"
2026-08-01 16:47:36,250 | INFO | apscheduler.scheduler | Scheduler started
2026-08-01 16:49:16,164 | INFO | app.middleware.logging | GET /docs -> 200 (2.36 ms)
2026-08-01 16:49:17,231 | INFO | app.middleware.logging | GET /openapi.json -> 200 (197.78 ms)
2026-08-01 16:50:23,623 | INFO | app.middleware.logging | POST /api/resumes/upload -> 401 (61.93 ms)
2026-08-01 16:50:34,951 | INFO | app.middleware.logging | POST /api/resumes/upload -> 401 (10.07 ms)
2026-08-01 16:54:01,720 | INFO | apscheduler.scheduler | Scheduler has been shut down
